Número da contratação,Código Classe/Grupo,Valor Total,Status da contratação,Situação da Execução,Título da contratação,Categoria da contratação,UASG Atual,Data estimada para o início do processo de contratação,Data estimada para a conclusão do processo de contratação,Prazo estimado de duração do processo de contratação (dias),Área requisitante,Nº DFD,Prioridade,Nº do Item no DFD,Data da conclusão da Contratação no DFD,Classificação da Contratação,Nome Classe/Grupo,Código PDM material,Nome do PDM material,Código material/serviço,Descrição material/serviço,Unidade Fornecimento,Valor Unitário,Quantidade,IdxValor,ID,ID Futura Contratação,Valor PCA
19/2025,6520,40000,Aprovada,,Material Odontológico Geral,BENS,102122,45555,45677,122,PROJETO RONDONIA,29/2024,Alto,1,45839,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,,,,,40000,1,1,15,102122-19/2025,40000
19/2025,6520,135000,Aprovada,,Material Odontológico Geral,BENS,102122,45555,45677,122,CLINICAS ODONTO,11/2024,Médio,1,45716,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,,,,,135000,1,1,15,102122-19/2025,135000
2/2025,3438,165000,Aprovada,,Aquisição máquina de solda ortodontia,BENS,102122,45748,45868,120,BAO - ODONTOP. ORTO. S COLETIVA,64/2024,Médio,2,45868,Material,EQUIPAMENTOS DIVERSOS DE SOLDA,,,,,,165000,1,1,1,102122-2/2025,165000
20/2025,6520,20000,Aprovada,,Equipamentos odontológicos,BENS,102122,45637,45757,120,BAO - ODONTOP. ORTO. S COLETIVA,64/2024,Médio,1,45868,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,,,,,20000,1,1,13,102122-20/2025,20000
20/2025,6520,40000,Aprovada,,Equipamentos odontológicos,BENS,102122,45637,45757,120,BAO - ODONTOP. ORTO. S COLETIVA,63/2024,Médio,1,45746,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,,,,,40000,1,1,13,102122-20/2025,40000
21/2025,6515,20000,Aprovada,,Cabine audiometria e ultrassom portátil Rôndonia,BENS,102122,45726,45846,120,PROJETO RONDONIA,66/2024,Médio,2,45839,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",,,,,,20000,1,1,12,102122-21/2025,20000
23/2025,6530,78750,Aprovada,,Aquisição de mochos odontológicos,BENS,102122,45594,45691,97,BAD - DENT. ENDO. MAT ODONT.,24/2024,Médio,1,45689,Material,"MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E  SUPRIMENTOS  HOSPITALARES",,,,,,78750,1,1,9,102122-23/2025,78750
23/2025,6530,78750,Aprovada,,Aquisição de mochos odontológicos,BENS,102122,45594,45691,97,BAP - Prótese e Periodontia,56/2024,Médio,1,45689,Material,"MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E  SUPRIMENTOS  HOSPITALARES",,,,,,78750,1,2,9,102122-23/2025,78750
24/2025,6550,60500,Aprovada,,Testes CME,BENS,102122,45810,45930,120,CME - CENTRAL MATERIAL ESTERILIZACAO,25/2024,Alto,1,45930,Material,"SUBSTÂNCIAS PARA DIAGNÓSTICO ""IN VITRO"",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE",,,,,,60500,1,1,8,102122-24/2025,60500
25/2025,7240,3000,Aprovada,,Itens zeladoria,BENS,102122,45713,45833,120,ATA - ADMINISTRACAO,40/2024,Médio,2,45833,Material,RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL,,,,,,3000,1,1,4,102122-25/2025,3000
25/2025,8520,10000,Aprovada,,Itens zeladoria,BENS,102122,45713,45833,120,ATA - ADMINISTRACAO,40/2024,Médio,4,45833,Material,"SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS",,,,,,10000,1,1,4,102122-25/2025,10000
25/2025,8530,5000,Aprovada,,Itens zeladoria,BENS,102122,45713,45833,120,ATA - ADMINISTRACAO,40/2024,Médio,1,45833,Material,ARTIGOS PARA HIGIENE PESSOAL,,,,,,5000,1,1,4,102122-25/2025,5000
25/2025,8530,10000,Aprovada,,Itens zeladoria,BENS,102122,45713,45833,120,ATA - ADMINISTRACAO,40/2024,Médio,3,45833,Material,ARTIGOS PARA HIGIENE PESSOAL,,,,,,10000,1,1,4,102122-25/2025,10000
26/2025,6550,4030,Aprovada,,Insumo para equipamento de laboratório CIP,BENS,102122,45630,45720,90,CIP,26/2024,Médio,1,45708,Material,"SUBSTÂNCIAS PARA DIAGNÓSTICO ""IN VITRO"",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE",,,,,,4030,1,1,2,102122-26/2025,4030
26/2025,9999,8400,Aprovada,,Insumo para equipamento de laboratório CIP,BENS,102122,45630,45720,90,CIP,26/2024,Médio,2,45708,Material,ITENS DIVERSOS,,,,,,8400,1,1,2,102122-26/2025,8400
27/2025,6830,100000,Aprovada,,Abastecimento de nitrogênio líquido,BENS,102122,45617,45677,60,ATF - FINANCEIRO,69/2024,Médio,1,45746,Material,GASES COMPRIMIDOS E LIQUEFEITOS,,,,,,100000,1,1,79,102122-27/2025,100000
28/2025,7010,5000,Aprovada,,Aquisição de mini pcs,CONTRATACOES_TIC,102122,45708,45828,120,PROJETO RONDONIA,66/2024,Médio,1,45839,Material,COMPUTADORES,,,,,,5000,1,1,76,102122-28/2025,5000
28/2025,7010,10000,Aprovada,,Aquisição de mini pcs,CONTRATACOES_TIC,102122,45708,45828,120,CIP,60/2024,Médio,1,45717,Material,COMPUTADORES,,,,,,10000,1,1,76,102122-28/2025,10000
